img;cond;presence;key_resp.keys;key_resp.rt;corr
a_neut18.jpg;neutral;no;right;4,1494;0
b_neut1.jpg;neutral;yes;right;3,5734;1
b_neut5.jpg;neutral;yes;right;2,3108;1
b_neut7.jpg;neutral;yes;right;2,4918;1
a_neut22.jpg;neutral;no;left;6,7813;1
a_neut23.jpg;neutral;yes;right;1,2283;1
w_neut28.jpg;neutral;no;left;1,4788;1
b_neut3.jpg;neutral;yes;left;1,6322;0
b_neut4.jpg;neutral;no;left;1,8143;1
a_neut16.jpg;neutral;no;left;2,2993;1
a_neut17.jpg;neutral;yes;right;1,5163;1
w_neut33.jpg;neutral;yes;right;1,1967;1
w_neut35.jpg;neutral;yes;right;1,2028;1
w_neut31.jpg;neutral;yes;right;1,303;1
b_neut8.jpg;neutral;no;left;1,9113;1
b_neut6.jpg;neutral;no;left;3,0938;1
a_neut13.jpg;neutral;yes;left;1,856;0
w_neut26.jpg;neutral;no;left;1,1044;1
w_neut25.jpg;neutral;yes;right;1,2616;1
a_neut20.jpg;neutral;no;left;1,1459;1
b_neut9.jpg;neutral;yes;right;1,3061;1
b_neut11.jpg;neutral;yes;left;2,3552;0
a_neut21.jpg;neutral;yes;left;5,2004;0
w_neut36.jpg;neutral;no;left;1,8313;1
w_neut27.jpg;neutral;yes;right;1,5441;1
a_neut14.jpg;neutral;no;left;1,0859;1
b_neut2.jpg;neutral;no;left;1,4823;1
w_neut32.jpg;neutral;no;left;1,8312;1
w_neut34.jpg;neutral;no;left;1,3629;1
b_neut10.jpg;neutral;no;left;2,0701;1
w_neut29.jpg;neutral;yes;left;0,9633;0
a_neut15.jpg;neutral;yes;left;1,3512;0
w_neut30.jpg;neutral;no;left;1,4704;1
a_neut24.jpg;neutral;no;left;2,5092;1
a_neut19.jpg;neutral;yes;left;3,7125;0
b_neut12.jpg;neutral;no;left;0,8717;1
w_pos12.BMP;positive;no;left;3,0187;1
b_pos21.jpg;positive;yes;right;2,0228;1
w_pos35.jpg;positive;yes;right;1,35;1
b_pos13.BMP;positive;no;left;1,3372;1
w_pos2.BMP;positive;no;left;2,5146;1
w_pos6.BMP;positive;yes;right;1,0477;1
a_pos8.jpg;positive;yes;right;4,8195;1
b_pos14.jpg;positive;yes;left;1,3358;0
b_pos22.jpg;positive;no;right;3,9647;0
a_pos34.jpg;positive;no;right;1,5159;0
w_pos5.BMP;positive;no;right;3,1571;0
b_pos18.jpg;positive;no;left;1,1532;1
b_pos19.jpg;positive;no;left;1,2639;1
a_pos26.jpg;positive;yes;right;0,8818;1
a_pos23.jpg;positive;yes;right;1,0016;1
w_pos7.BMP;positive;no;left;3,2613;1
a_pos31.jpg;positive;no;left;4,0337;1
a_pos32.jpg;positive;yes;right;1,9543;1
b_pos24.jpg;positive;yes;right;1,4671;1
b_pos15.jpg;positive;no;left;6,1742;1
w_pos25.jpg;positive;yes;left;2,7196;0
a_pos29.jpg;positive;no;left;3,433;1
w_pos36.jpg;positive;no;left;4,319;1
b_pos20.jpg;positive;no;left;2,5558;1
b_pos4.jpg;positive;yes;right;1,1137;1
a_pos11.jpg;positive;no;right;1,3307;0
w_pos1.bmp;positive;yes;right;0,9171;1
a_pos27.jpg;positive;no;left;1,3764;1
w_pos10.jpg;positive;no;left;1,0865;1
a_pos28.jpg;positive;yes;right;2,1037;1
b_pos16.jpg;positive;yes;right;1,1351;1
b_pos17.jpg;positive;yes;right;1,166;1
w_pos3.BMP;positive;yes;right;2,4593;1
a_pos30.jpg;positive;yes;right;5,3704;1
a_pos33.jpg;positive;no;left;1,4112;1
w_pos9.BMP;positive;yes;left;1,0411;0
w_neg19.BMP;negative;yes;left;6,1986;0
a_neg15.bmp;negative;yes;left;1,2464;0
a_neg29.jpg;negative;no;left;1,1611;1
w_neg6.BMP;negative;no;right;1,964;0
w_neg16.BMP;negative;no;left;4,2602;1
b_neg22.BMP;negative;no;right;2,2516;0
b_neg23.bmp;negative;yes;right;1,297;1
b_neg27.BMP;negative;yes;right;1,0682;1
a_neg14.bmp;negative;no;left;1,4475;1
w_neg3.bmp;negative;yes;right;1,559;1
w_neg1.bmp;negative;yes;right;1,0634;1
a_neg35.jpg;negative;no;right;1,6052;0
w_neg21.BMP;negative;yes;right;1,2181;1
b_neg7.BMP;negative;yes;right;0,9003;1
w_neg4.bmp;negative;no;right;4,2044;0
b_neg10.BMP;negative;no;left;1,387;1
a_neg11.BMP;negative;yes;right;1,2969;1
b_neg25.BMP;negative;yes;right;1,1346;1
a_neg33.jpg;negative;no;right;0,9282;0
w_neg17.BMP;negative;yes;left;4,3232;0
b_neg26.bmp;negative;no;left;1,2751;1
a_neg28.jpg;negative;no;right;0,8015;0
w_neg2.bmp;negative;no;left;4,6154;1
b_neg24.BMP;negative;no;left;1,1382;1
a_neg34.jpg;negative;yes;right;0,9299;1
b_neg8.bmp;negative;no;left;1,8613;1
w_neg5.BMP;negative;yes;right;1,0672;1
w_neg20.BMP;negative;no;left;1,028;1
a_neg12.bmp;negative;no;right;2,5114;0
b_neg30.jpg;negative;yes;right;0,911;1
w_neg18.BMP;negative;no;left;1,1367;1
a_neg32.jpg;negative;yes;right;1,3906;1
b_neg9.BMP;negative;yes;right;1,0261;1
a_neg36.jpg;negative;yes;right;0,9499;1
b_neg31.jpg;negative;no;right;0,9671;0
a_neg13.BMP;negative;yes;left;1,3351;0
